===== Maria Map Maker supported formats =====

^ Format                 ^ Type       ^
| ESRI Shape             | vector     |
| ESRI File Geodatabase  | vector     |
| GeoJSON                | vector     |
| SOSI                   | vector     |
| KML                    | vector     |
| GeoPackage vector      | vector     |
| GeoTIFF                | raster     |
| JPEG                   | raster     |
| JPEG2000               | raster     |
| PNG                    | raster     |
| MrSID *                | raster     |
| ECW *                  | raster     |
| MBTiles raster *       | raster     |
| GeoPackage raster *    | raster     |
| ECRG *                 | raster     |
| CADRG *                | raster     |
| QM2 *                  | raster     |
| GeoTIFF                | elevation  |
| USGS DEM               | elevation  |
| Arc/Info ASCII Grid    | elevation  |
| SRTM HGT               | elevation  |
| DTED                   | elevation  |

* These formats are read directly without pre-processing
